"year";"length";"budget";"rating";"votes"
"Spacehunter: Adventures in the Forbidden Zone";1983;90;14400000;4.2;706
"American Jedi";2002;8;2000;7.9;9
"Man From Planet X, The";1951;70;50000;5.6;219
"Jerry Maguire";1996;139;50000000;7.3;34623
"You Only Live Once";1937;86;575000;7.6;364
"Road Trip";2000;94;15600000;6.3;15981
"Cat's-Paw, The";1934;102;617000;6.8;93
"Mind's Eye, The";2005;96;750000;6.7;7
"Summer Sonata, A";2004;30;2000;10;5
"Wonder Boys";2000;111;35000000;7.6;15668
"Few Good Men, A";1992;138;33000000;7.5;25237
"Choosing Matthias";2001;90;2500000;4.9;22
"Man of Conquest";1939;105;1000000;6.8;26
"Attic Expeditions, The";2001;100;1000000;5.4;384
"Red Dragon";1945;64;75000;5.5;29
"Marilyn's Man";2004;92;825000;7.6;24
"Running Out";2001;97;50000;7.6;73
"Issues 101";2002;90;75000;3.6;74
"From Dusk Till Dawn";1996;108;20000000;6.8;28473
"Portal: The Movie";2003;29;15000;8.4;5
"Ocean's Eleven";2001;116;85000000;7.5;44662
"Spanglish";2004;130;80000000;6.7;4698
"Spider-Man 2";2004;127;200000000;7.9;40256
"Good Morning... and Goodbye!";1967;80;55000;3.5;53
"Confessions of a Dangerous Mind";2002;113;29000000;7.1;11487
"Woman of Paris, A";1923;93;351000;7.3;351
"Custodial Code, The";2003;15;12000;9.7;7
"P.I. Blues";2003;101;95000;7.6;5
"Gigi";1958;119;3319355;7;1956
"Almost Famous";2000;162;60000000;8;38648
"Hucksters, The";1947;115;2300000;6.4;189
"Desecration";1999;88;150000;4.3;97
"Tart";2001;94;3300000;4.6;714
"Napoleon Dynamite";2004;86;400000;7.2;17524
"Aristocats, The";1970;78;4000000;6.6;2972
"Standalone";2005;108;245000;7.3;10
"Requiem for a Dream";2000;102;4500000;8.4;47845
"Alamo, The";1960;192;12000000;6.6;2083
"Witchboard III: The Possession";1995;93;2000000;3.4;114
"Return of the Fly";1959;80;225000;5.2;402
"Moon Zero Two";1969;100;2000000;3.9;118
"In Their Absence";2003;8;3500;9.6;7
"Barbershop";2002;102;12000000;6.6;4943
"Accident";1967;105;600000;7.1;340
"Don't Look Back!";2003;89;2300000;1.3;10
"Boom";1968;110;10000000;4;166
"Freaks";1932;64;310607;7.7;4134
"Gray's Anatomy";1996;80;350000;7;337
"Code 46";2003;92;7500000;6.4;2094
"Turkey Shoot";1981;80;3200000;4.2;167
"Kingdom of the Spiders";1977;97;500000;5.4;484
"Akumulator 1";1994;102;2000000;7.1;272
"Long Kiss Goodnight, The";1996;120;65000000;6.5;12516
"Day of the Fight";1951;16;3900;6.1;272
"Mask, The";1961;83;250000;4.3;87
"Diner";1982;110;5000000;7.2;3250
"Rainbow Thief, The";1990;87;10000000;6;49
"Loss of Sexual Innocence, The";1999;106;4000000;5.3;977
"Down Time";2001;90;20000;3.5;55
"Bullet for Pretty Boy, A";1970;89;350000;3.5;31
"Octane";2003;91;11500000;4.4;355
"Covered Wagon, The";1923;98;782000;7.9;49
"Hearts in Atlantis";2001;101;31000000;6.7;6577
"Different Loyalty, A";2004;96;13000000;5;135
"Indiana Jones and the Temple of Doom";1984;118;28000000;7.2;34880
"Interstate 60";2002;116;7000000;7.7;2495
"Modern Vampires";1998;91;2000000;4.1;700
"La Cucaracha";1934;20;50000;6.2;21
"My Own Private Idaho";1991;102;2500000;6.7;5619
"Rembrandt";2003;109;3000000;6.8;416
"Madonna: Truth or Dare";1991;114;4500000;5.5;2660
"Working Man, The";1933;78;199000;7.7;110
"Mother Night";1996;114;5500000;7.1;1232
"Twelve Steps Outside";2002;88;25000;8.3;7
"NeverEnding Story II: The Next Chapter, The";1990;89;36000000;4.3;1873
"Chandu the Magician";1932;71;349456;5.7;74
"Crutch";2004;88;500000;6.2;12
"Lady from Shanghai, The";1947;79;2000000;7.6;2377
"Misery";1990;107;20000000;7.5;13120
"Last Time I Committed Suicide, The";1997;92;4000000;5.3;530
"Star Wars";1977;125;11000000;8.8;134640
"Are You Popular?";1947;10;11000;4.3;18
"Heartbeeps";1981;79;10000000;4.2;234
"Bottomfeeders";2001;92;500000;7.4;7
"Weight of Water, The";2000;113;16000000;6;1742
"Being Julia";2004;104;18000000;7.2;1671
"Shadows Over Chinatown";1946;64;75000;6;24
"Liar Liar";1997;86;45000000;6.5;22969
"John Goldfarb, Please Come Home";1965;96;4000000;4.8;170
"Lady and the Tramp";1955;75;4000000;7.4;6952
"Guyver: Dark Hero";1994;127;900000;4.9;283
"Cabin Fever";2002;93;1500000;5.1;7776
"League of Extraordinary Gentlemen, The";2003;110;78000000;5.4;15647
"Sex, Lies, and Videotape";1989;100;1200000;7.1;7461
"And Baby Makes Three";1949;84;700000;5.3;22
"Food of the Gods II";1989;91;3500000;1.9;173
"Drowning";2001;7;0;5;11
"Cold Dog Soup";1990;100;7000000;4.6;136
"Elmer Gantry";1960;146;3000000;7.8;1771
"Belly";1998;96;10000000;4.5;1034
"Children On Their Birthdays";2002;102;10000000;6;163
"Return of the Living Dead, The";1985;91;4000000;6.7;3344
"Puppet Master II";1991;88;780000;4.3;413
"Serendipity";2001;90;28000000;6.6;10795
"Grand Slam";1933;67;164000;5.4;41
"Apollo 13";1995;140;62000000;7.5;41098
"Ziegfeld Follies";1946;110;3240816;6.5;335
"Fukkatsu no hi";1980;108;16000000;5.7;140
"Anastasia";1997;94;53000000;6.5;4896
"Sztuka spadania";2004;5;100000;7.6;68
"Zabriskie Point";1970;95;7000000;6.4;1377
"Straight to Hell";1987;86;1000000;4.9;464
"Rare Birds";2001;99;5000000;6.4;471
"Last Action Hero";1993;130;60000000;5.4;15266
"Kiss & Tell";1996;96;1000000;5.7;68
"Show Boat";1951;107;2295429;7;665
"Grease";1978;110;6000000;6.8;22214
"Nanny, The";1965;91;1300000;7.1;544
"Heaven & Earth";1993;140;33000000;6.4;1987
"Showboy";2002;93;300000;4.5;67
"Derniers feux";2004;8;50000;9.7;6
"Earthquake";1974;140;7000000;5.2;2106
"Rats & Bullies";2004;102;120000;8.6;8
"What Is Funny?";2004;10;30000;9.5;20
"Sunday";1997;94;450000;7.1;249
"Lucky Lady";1975;118;13000000;4.6;231
"St. Valentine's Day Massacre, The";1967;100;1000000;6.1;380
"Carefree";1938;83;1253000;7.1;306
"Kalifornia";1993;118;9000000;6.6;8113
"Two for the Road";1967;111;4000000;7.3;1251
"Scene Smoking: Cigarettes, Cinema & the Myth of Cool";2001;59;145000;2.6;28
"Bonnie and Clyde";1967;111;2500000;7.9;12653
"Countess from Hong Kong, A";1967;120;3500000;5.4;449
"Divine Secrets of the Ya-Ya Sisterhood";2002;116;27000000;5.5;4288
"Legacy, The";1978;102;2500000;5;241
"Arc";2004;30;9000;9.4;10
"X";1963;79;250000;6.3;668
"Scarlet Empress, The";1934;104;900000;7.5;579
"State of the Union";1948;124;2600000;7.2;454
"Fakers";2004;85;1800000;5.6;58
"Tough Guys Don't Dance";1987;110;5000000;4.8;233
"Mickey";1918;93;125000;7.1;18
"Last Movie, The";1971;108;1000000;3.9;145
"On a Clear Day You Can See Forever";1970;129;10000000;5.8;578
"Laughing Dead";1998;85;200000;7.6;22
"This Is Not a Love Story";2002;81;1000000;4.2;9
"Winning New Hampshire";2004;45;15000;8.1;10
"Out for a Kill";2003;88;20000000;3;818
"Sum of All Fears, The";2002;123;68000000;6.6;15835
"Twilight Zone: The Movie";1983;120;10000000;6;4458
"D-Tox";2002;92;55000000;4.7;2742
"Deadly Harvest";1977;87;250000;5;35
"Committed";2000;98;3000000;5.2;739
"Impostor";2002;102;40000000;5.8;3292
"Oh My God";2004;10;3500;7.5;20
"Birdy in the Cage";2003;9;2000;9;5
"Umanoide, L'";1979;100;7000000;3.1;73
"Shock Waves";1977;90;200000;5.4;429
"Naked Prey, The";1966;96;900000;7.5;489
"Hop-Along Cassidy";1935;60;85000;7.5;40
"Titus Andronicus";2000;167;16000;3.3;11
"American President, The";1995;114;62000000;6.9;11834
"Strangers";2004;9;1000;9.7;6
"Rugrats Go Wild!";2003;81;25000000;4.8;423
"Right Stuff, The";1983;193;27000000;7.9;12907
"Milking the Chicken";2003;35;1000;6.2;13
"View to a Kill, A";1985;131;30000000;5.9;8478
"Simply Irresistible";1999;94;6000000;4.7;3083
"5 Dark Souls";1996;94;1500;7.3;11
"Enraged New World, An";2002;50;3500;8.9;25
"Black Cat, The";1934;65;95745;7.2;788
"Pleasantville";1998;124;40000000;7.5;22561
"Tigre de Santa Julia, El";2002;128;2000000;6.1;75
"Time Walker";1982;83;750000;2.4;170
"Ganz und gar";2003;95;1400000;8.2;114
"Root of All Evil, The";2004;101;150000;6.6;5
"Dersu Uzala";1975;141;4000000;8.1;2565
"Barcelona";1994;101;3200000;6.6;1570
"White Oleander";2002;109;16000000;6.9;4545
"Choke";1999;98;550000;5.6;68
"X2";2003;133;110000000;7.9;38191
"First of May, The";1999;111;2500000;7.1;88
"My Stepmother Is an Alien";1988;105;16000000;4.7;4080
"Pocahontas";1995;81;55000000;5.7;6498
"Rose, The";1979;125;8500000;6.6;1076
"Going Greek";2001;90;198000;4.8;261
"I Dreamed of Africa";2000;114;34000000;5.2;1113
"Blood of the Beast";2003;74;2000;9.1;23
"Lost Boundaries";1949;99;250000;6.9;15
"Gigli";2003;121;54000000;2.3;11285
"Sea Ghost";2004;90;1500000;3.7;10
"Meet Me in St. Louis";1944;113;1707561;7.7;2480
"Killers";1996;90;100000;6.3;219
"War Effort, The";2003;106;15000;8.7;12
"Clear and Present Danger";1994;141;65000000;6.8;13025
"Boxcar Bertha";1972;92;600000;5.8;590
"Veronika's Birthday";2004;39;15000;9.2;6
"Final Fantasy: The Spirits Within";2001;106;137000000;6.5;16451
"Route 666";2001;86;2300000;4;487
"Nil by Mouth";1997;128;9000000;6.9;1159
"Crew, The";2000;84;23000000;5.3;1297
"Bronx Tale, A";1993;121;22000000;7.5;9175
"Cabaret";1972;124;6000000;7.8;7176
"Hour of the Gun";1967;100;1800000;6.4;235
"Cherry Orchard, The";1999;141;5000000;6.4;127
"Ulzana's Raid";1972;105;1200000;7;422
"Count of Monte Cristo, The";2002;134;35000000;7.4;13907
"Fear X";2003;91;6600000;5.9;742
"Steaks, The";2000;107;1000;8.7;10
"Kafka";1991;92;11000000;6.9;1751
"2046";2004;129;12000000;7.6;2663
"Clonus Horror, The";1979;90;350000;2.1;469
"Robot Monster";1953;66;16000;2.4;723
"Child Psychology";2004;14;7000;6.6;7
"Painted Veil, The";1934;85;947000;6;85
"Hell's Bloody Devils";1970;92;150000;2.8;18
"Kingdom of the Vampire";1991;70;2500;6.6;7
"Une chance sur deux";1998;110;32000000;5.6;472
"Roger & Me";1989;91;160000;7.7;7674
"Bubble Boy";2001;84;13000000;5.1;2904
"Inamorata";2004;112;5000;7.8;6
"Cover Up";1991;87;7500000;3.3;193
"While You Were Sleeping";1995;103;17000000;6.5;13035
"Much Ado";2003;86;10000;6;11
"Roi danse, Le";2000;115;21000000;5.9;422
"Auteur Theory, The";1999;79;70000;4.5;76
"Atlas";1961;79;70000;4;26
"Chairman of the Board";1998;95;10000000;2.6;666
"Jezebel";1938;104;1250000;7.4;1163
"Little Nellie Kelly";1940;98;665300;6.4;73
"Mean Creek";2004;89;500000;7.3;2094
"As You Desire Me";1932;70;460733;6;107
"Avanti popolo";1986;84;60000;8.8;51
"Winterlude";2005;95;35000;7.6;7
"Celebrity";1998;113;12000000;6.1;4820
"Coach Carter";2005;136;30000000;6.6;1636
"Ballistic: Ecks vs. Sever";2002;91;70000000;3.4;4556
"Scanner Cop II";1995;95;4000000;3.7;81
"Employees' Entrance";1933;75;188000;7.2;106
"Brigadoon";1954;108;2352625;6.8;1286
"Curly Sue";1991;101;30000000;4.7;2097
"Dot.Kill";2004;87;6000000;5;36
"New Guy, The";2002;89;13000000;5.2;4266
"Love Stinks";1999;94;4000000;5.3;1311
"Raging Bull";1980;129;18000000;8.4;26739
"Cotton Mary";1999;124;3500000;5.3;164
"Phantasm";1979;88;300000;6.2;2406
"Shake, Rattle & Rock!";1956;72;79000;5.1;27
"Anna Christie";1930;89;376000;6.6;252
"Brylcreem Boys, The";1998;106;6000000;6;199
"One Night Stand";1997;102;24000000;5.7;1709
"Missile to the Moon";1958;78;65000;3.5;58
"Escape from the Planet of the Apes";1971;98;2500000;5.8;2951
"Attila";1954;100;900000;5.2;67
"Cape of Good Hope";2004;107;3000000;9.7;13
"Lunes al sol, Los";2002;113;4000000;7.8;1466
"Foreigner, The";2003;96;20000000;3.1;904
"Full Clip";2004;95;500000;4.1;72
"Looney Tunes: Back in Action";2003;91;80000000;6.1;2559
"Pray for Death";1985;92;4000000;4.4;101
"Conan the Barbarian";1982;129;20000000;6.5;13624
"Buddy Buddy";1981;96;10000000;6.2;761
"Back to God's Country";1919;73;67000;6.4;66
"Catwoman";2004;104;85000000;3.4;8815
"Gatto nel cervello, Un";1990;93;100000;5.6;237
"Intruder, The";1962;84;80000;8;163
"Solomon and Sheba";1959;141;5000000;5.8;254
"Daughters of Satan";1972;90;275000;3.2;77
"Last Castle, The";2001;131;60000000;6.4;7233
"Broken Lullaby";1932;76;889154;7.2;66
"Tillie's Punctured Romance";1914;82;50000;6.3;247
"Man Betrayed, A";1941;82;250000;4.7;52
"11:14";2003;95;6000000;7.1;605
"Mortal Kombat: Annihilation";1997;91;30000000;3;5799
"Dr. Jekyll and Ms. Hyde";1995;90;8000000;4.2;573
"Time Machine, The";1960;89;750000;7.3;4269
"Teenage Thunder";1957;78;46000;4.5;6
"Why We Had to Kill Bitch";2003;82;15000;5.8;79
"Gremlins";1984;106;11000000;6.8;15044
"Class of 1999";1990;99;5200000;4.5;549
"Return of the Living Dead 3";1993;97;2000000;5.3;1386
"Valley of the Dolls";1967;123;5000000;5.5;967
"Gattaca";1997;101;36000000;7.6;26071
"Erotica";1961;68;4000;1.6;18
"Attack of the 50 Foot Woman";1958;65;88000;4.5;521
"Fast Times at Ridgemont High";1982;90;4500000;7.1;10361
"Faculty, The";1998;104;15000000;6.1;13143
"Young Sherlock Holmes";1985;109;18000000;6.4;3001
"Go Fish";1994;84;15000;5.8;621
"Target Earth";1954;75;85000;5.8;106
"Crimes of the Future";1970;70;20000;4.7;94
"Hell's Kitchen";1998;95;6000000;4.5;491
"Vicious Sweet, The";1997;90;3000;3.2;23
"Angel Eyes";2001;102;38000000;5.6;4829
"Visitant, The";1981;22;0;7.1;30
"Blackwater Elegy";2003;19;40000;9;10
"Dark Heaven";2002;87;80000;2.4;47
"King Kong";1933;100;670000;7.9;10301
"Break Up";1998;100;9000000;5.1;393
"Dentist II, The";1998;100;1800000;4.1;401
"Rattlesnake Jake";2004;6;1000;5.4;16
"Yume";1990;119;12000000;7.5;2735
"Topaz";1969;143;4000000;6.1;1918
"Puppies for Sale";1998;9;3500;7.2;44
"Kismet";1944;100;3000000;6.2;105
"Out-of-Sync";1995;105;1500000;4.7;37
"Being Human";1993;122;30000000;4.8;966
"Still Lover";2003;5;1000;7.7;7
"Three Little Pigs";1933;8;15720;7.9;260
"Legends of the Fall";1994;133;30000000;6.7;13327
"Torn Curtain";1966;126;6000000;6.5;2477
"Star Trek VI: The Undiscovered Country";1991;113;30000000;6.9;10367
"House on Turk Street, The";2002;103;12000000;5.5;1048
"Wyatt Earp";1994;212;63000000;6.1;5248
"Carnival of Souls";1962;84;30000;7;1819
"Summer of Sam";1999;142;22000000;6.5;8151
"Overnight Delivery";1998;87;12000000;5.9;1229
"Spandex: A Father's Tale";2005;21;30000;9.4;5
"Adventures of Lucky Pierre, The";1961;70;7100;1.9;15
"North by Northwest";1959;136;4000000;8.6;35648
"Igby Goes Down";2002;99;9000000;7.1;7958
"Dead Man";1995;120;9000000;7.6;10097
"Gmar Gavi'a";1991;105;800000;7.5;38
"Battle of Britain";1969;151;12000000;6.7;1728
"Drag";1993;40;25000;7.8;5
"Neighbors";1981;94;8500000;4.9;1419
"Chronicles of Riddick, The";2004;135;110000000;6.2;11438
"Jurassic Park";1993;127;63000000;7.4;57473
"Exorcist, The";1973;132;1000000;7.9;34162
"Robin Hood: Prince of Thieves";1991;155;50000000;6.5;20286
"Deuce Bigalow: Male Gigolo";1999;88;18000000;5.6;9897
"Dead Presidents";1995;119;15000000;6.3;2641
"Zoo Radio";1990;90;100000;4.6;13
"Northfork";2003;103;1900000;6.2;1521
"Forgotten, The";2004;94;42000000;5.8;8234
"Grumpier Old Men";1995;101;25000000;6.2;3711
"Caddyshack";1980;98;6000000;7.1;13453
"Primer";2004;77;7000;6.4;1466
"Book and the Rose, The";2001;29;40000;9;10
"Tattooed Stranger, The";1950;64;124000;6.5;61
"Raising the Stakes";1999;88;100000;4.7;24
"Sunshine Deli and Grocery, The";2000;93;300000;8.3;6
"RoboCop";1987;103;13000000;7.1;15974
"Pretend";2003;75;150000;7;8
"Mannequin: On the Move";1991;95;13000000;2.9;1235
"Fintar o Destino";1998;77;850000;6.2;16
"Just Looking";1999;97;3000000;6.2;436
"Sinnui yauman";1987;92;5600000;7.4;1606
"Female Trouble";1974;97;25000;7.1;868
"Mujeres al borde de un ataque de nervios";1988;90;700000;7.5;3894
"Prince of Egypt, The";1998;99;60000000;6.9;9212
"Broadway Melody, The";1929;101;379000;6;378
"Slashers";2001;97;165000;5.2;213
"Get Carter";2000;104;40000000;4.7;4927
"Army of Darkness";1993;96;11000000;7.4;22118
"Big Bounce, The";2004;88;50000000;4.7;2505
"Lana's Rain";2002;107;215000;7.1;56
"Orgazmo";1997;92;1000000;5.7;5128
"Spiders";2000;95;2000000;3.2;511
"Arizona";1940;121;2000000;6.8;67
"Reality of Life";2002;115;12000;1;13
"Last Emperor, The";1987;219;25000000;7.7;9507
"Basket Case 2";1990;90;2500000;3.9;310
"Passage to Ottawa, A";2001;90;300000;6.3;31
"Gladiator";2000;155;103000000;8;92495
"Birds, The";1963;119;2500000;7.8;20072
"Jing wu men";1972;107;100000;6.7;1667
"Wishmaster";1997;90;5000000;5;2577
"Scary Movie 2";2001;83;45000000;4.2;12035
"Tell Them Johnny Wadd Is Here";1975;74;12000;4.6;25
"102 Dalmatians";2000;100;85000000;4.7;1987
"Men of War";1994;99;12000000;4.6;397
"What Ever Happened to Baby Jane?";1962;135;980000;7.7;3981
"Rocky Horror Picture Show, The";1975;98;1200000;6.8;16737
"Quigley Down Under";1990;119;20000000;6.2;2315
"Avanti!";1972;140;2750000;7.2;1043
"Hard Hombre";1931;65;60000;3.6;5
"Star Trek V: The Final Frontier";1989;107;27800000;4.8;9215
"Finding Graceland";1998;106;10000000;6.6;504
"Cowboys & Angels";2003;89;2000000;7.5;206
"Westerner, The";1940;100;2000000;7.8;418
"Relic, The";1997;110;40000000;5.3;5102
"Sol Goode";2001;99;3000000;5.4;291
"American Gigolo";1980;117;4800000;5.7;2469
"Paths of Glory";1957;87;935000;8.6;14391
"Michael Collins";1996;133;25000000;6.8;5009
"Baby Boy";2001;130;16000000;6.2;1476
"Rains Came, The";1939;105;2600000;6.6;111
"Detour";1945;67;30000;7.3;1114
"Mala racha";2001;65;70000;8.5;6
"Police Beat";2005;80;500000;2.7;22
"Blues Brothers 2000";1998;123;28000000;4.5;5267
"Sisters";1973;92;500000;6.8;1088
"Nueve reinas";2000;114;1500000;7.6;3721
"Suspended Animation";2001;114;1900000;5.2;82
"Neon Maniacs";1986;91;1500000;4;142
"Dusting Cliff 7";1996;95;1300000;3.5;80
"Species";1995;108;35000000;5.4;8963
"Under Siege 2: Dark Territory";1995;99;60000000;4.9;5551
"Hollywood Boulevard";1976;83;60000;4.9;116
"Noro";2002;85;500000;5.4;12
"Superstarlet A.D.";2000;70;16000;5.4;23
"Heart of America";2003;87;3000000;6.1;204
"Stand-In, The";1999;100;400000;5.6;42
"Usher";2004;91;55000;7.3;11
"Her Knight";2003;29;16878;8;9
"Just the Ticket";1999;115;12000000;5.5;610
"Playing by Heart";1998;121;14000000;7.1;4958
"Sit and Spin";2002;20;50000;8.7;6
"Howling, The";1981;91;1000000;6.3;2546
"Revenge of the Nerds";1984;90;8000000;6;6007
"Follow Me Home";1996;100;220000;7.6;52
"Net, The";1995;114;22000000;5.6;12201
"One, Two, Three";1961;115;3000000;7.8;2551
"Slap Her... She's French";2002;92;10000000;4.7;811
"Life Less Ordinary, A";1997;103;12000000;6.4;8209
"Festen";1998;105;1300000;8.2;11983
"Transfer";1966;7;0;5.3;17
"Sunset Blvd.";1950;115;1752000;8.6;16149
"Prime Suspects";1997;93;550000;1.5;10
"Reindeer Games";2000;124;36000000;5.5;7120
"Ulee's Gold";1997;113;2700000;7.1;2368
"White Mischief";1987;107;5300000;6;568
"American History X";1998;119;10000000;8.4;59677
"Seed of Chucky";2004;87;12000000;5.1;1342
"Cellular";2004;94;25000000;6.4;6182
"Silver Chalice, The";1954;142;4500000;4.1;184
"Tom Horn";1980;98;3000000;6.4;404
"Eat My Dust!";1976;89;300000;4.5;95
"Witness for the Prosecution";1957;118;3000000;8.3;5112
"Savage Roses";2002;90;15000;2.7;17
"Actors Anonymous: The Truth Behind the Dream";2003;60;30000;3.2;8
"Stereo";1969;65;3500;4.7;86
"City of Ghosts";2002;116;17500000;5.6;877
"Soul Food";1997;114;7500000;6.5;1166
"Practical Magic";1998;103;60000000;5.4;7786
"Barbarian, The";1933;83;444399;6.2;57
"How the Grinch Stole Christmas";2000;104;123000000;5.7;12680
"Full Metal Jacket";1987;116;30000000;8.2;47757
"Heavy Metal";1981;90;9300000;6.2;4538
"Confession, The";1998;20;15000;6.9;18
"Weed: Or, A Cancer in the Community";2003;15;4750;8.2;5
"Outside Providence";1999;96;7000000;6.1;2735
"Down";2001;110;15000000;4.5;637
"Embrace of the Vampire";1994;93;800000;4.2;1551
"Hoop Dreams";1994;170;700000;7.9;4668
"Lianna";1983;110;300000;6.9;258
"Star Trek: First Contact";1996;106;45000000;7.3;25046
"3 Women";1977;124;1500000;7.7;912
"It's a Mad Mad Mad Mad World";1963;192;9400000;7.2;5891
"Stalag 17";1953;116;1315000;8.2;7153
"Held for Ransom";2000;91;5000000;4.5;136
"Scooby-Doo";2002;86;84000000;4.8;9618
"Krush Groove";1985;97;3000000;5.5;253
"Minion, The";1998;95;12000000;3.2;338
"Black Hawk Down";2001;142;90000000;7.6;32530
"She Demons";1958;77;65000;2.6;47
"Darcy's Off-White Wedding";2005;10;7000;9.4;5
"Seventh Coin, The";1993;92;900000;4;58
"Galaxy of the Dinosaurs";1992;65;1250;1.4;17
"Hijo genial, Un";2003;90;1000000;1.6;7
"Perfect Target";1997;89;3500000;4.2;55
"Showtime";2002;96;85000000;5.5;7689
"Event Horizon";1997;96;70000000;5.7;15510
"Benji";1974;86;500000;5.7;679
"All the Queen's Men";2001;105;25000000;5;353
"No Escape";1994;118;20000000;5.6;2372
"Beast with a Million Eyes, The";1956;75;23000;3.2;119
"Pieces of April";2003;80;300000;7.3;4604
"Citizen Ruth";1996;102;3000000;6.8;1441
"Shattered Glass";2003;95;6000000;7.5;4108
"Time Changer";2002;95;825000;4.5;304
"Great Gatsby, The";1974;144;6500000;6.1;2419
"Dude, Where's My Car?";2000;83;13000000;4.6;13330
"New Jack City";1991;97;8500000;6.1;3360
".com for Murder";2002;96;5000000;3.7;271
"Romantic Englishwoman, The";1975;115;1200000;6;119
"Gathering, The";2002;83;18000000;5.8;1033
"Man-Thing";2005;96;30000000;3.8;163
"Alien Dead";1980;69;12000;2.4;112
"Fine and Dandy";2003;6;1000;7.2;6
"Horror of Party Beach, The";1964;78;120000;2.2;418
"You Are Here";2004;91;100000;5.6;5
"Matrix Revolutions, The";2003;125;110000000;6.3;40058
"Harvey Girls, The";1946;102;2524315;7;456
"Final Destination";2000;98;23000000;6.6;16504
"Always";1989;106;29500000;6.2;4913
"Boogens, The";1982;95;600000;4.2;155
"Out of Africa";1985;160;31000000;6.9;6797
"Witchcraft V: Dance with the Devil";1993;94;1000000;2.4;49
"Defender, The";2004;90;6000000;6.3;58
"Vortex";1983;90;80000;4;11
"Wings";1927;141;800000;7.4;803
"Waterloo Bridge";1931;81;251289;8.3;132
"Welcome to Mooseport";2004;117;26000000;5.3;2356
"Johnny Mnemonic";1995;96;26000000;4.7;8258
"Latter Days";2003;107;850000;7.3;1396
"Torrent";1926;88;250000;7.2;75
"Rosalie";1937;123;2000000;6.2;73
"Hsi yen";1993;106;1000000;7.5;2342
"Eight Legged Freaks";2002;99;30000000;5.5;6362
"Darkness Falls";2003;86;11000000;4.5;4928
"Anywhere But Here";1999;114;23000000;5.9;4007
"Bingo Bus, A";2004;30;4000;6.6;7
"Wesley Cash";2004;73;20000;8.2;31
"Duel in the Sun";1946;144;8000000;7;866
"Raven, The";1935;61;115000;6.8;420
"Legend of Blood Mountain, The";1965;65;750000;1.1;19
"Snow Day";2000;89;13000000;4.6;1645
"East of Hope Street";1998;88;100000;5.6;14
"Nightmare On Elm Street 4: The Dream Master, A";1988;99;13000000;4.8;3856
"Day the World Ended";1956;79;96000;4.7;241
"Bellboy, The";1960;72;900000;6.1;369
"Crop Circles: Quest for Truth";2002;115;750000;7.2;66
"War Is Hell";1963;81;47000;5.3;6
"Babes on Broadway";1941;118;940068;6.5;171
"Star Wars: Episode I - The Phantom Menace";1999;133;115000000;6.4;84488
"Osama";2003;83;46000;7.5;1546
"New York, New York";1977;163;14000000;6.3;1616
"Reap the Wild Wind";1942;123;4000000;6.4;353
"Err On the Side of Caution";1997;94;500000;6;5
"Judge Dredd";1995;96;90000000;4.6;9979
"Blue Bird, The";1976;99;12000000;3.9;148
"Guns of Navarone, The";1961;156;6000000;7.6;5157
"Dracula";1992;128;40000000;7.1;19972
"Love, Ludlow";2005;97;75000;8.6;22
"Ame agaru";1999;91;3800000;7.8;448
"Picture Perfect";1997;105;19000000;5.6;3019
"Psycho II";1983;113;5000000;5.7;2228
"Gunsmoke Ranch";1937;53;35000;4.9;8
"Enemy at the Gates";2001;131;70000000;7.3;19169
"Hatred of a Minute";2002;83;300000;5.2;96
"Hellraiser";1987;89;1000000;6.5;6815
"Lord of the Rings: The Fellowship of the Ring, The";2001;208;93000000;8.8;157608
"Naked";1999;40;3000;5.3;21
"September";1987;82;10000000;6.1;918
"Metro";1997;117;55000000;5.2;3560
"Dark Manhattan";1937;70;24900;5.1;11
"Affliction";1997;114;6000000;6.9;3679
"Professor, The";1919;7;1000;6.6;13
"Don't Call Me Frankie";1993;70;40000;9.1;7
"Knock Off";1998;91;35000000;3.8;1947
"For Caroline";2002;18;60000;6.7;19
"Holes";2003;117;30000000;7.2;5235
"Ripley's Game";2002;112;30000000;6.6;2680
"David & Dee";2004;18;50000;8.6;17
"Yellow Bird";2001;30;100000;8;21
"Grandma's Boy";1922;60;100000;7.2;109
"Trona";2004;63;5000;8;6
"Twilight's Last Gleaming";1977;146;6200000;6.6;313
"Goonies, The";1985;114;19000000;7.2;18895
"Shalako";1968;113;1455000;5.2;287
"Saving Silverman";2001;96;22000000;5.4;6684
"Princess and the Pirate, The";1944;94;2000000;6.7;228
"Emperor Jones, The";1933;80;250000;6.1;98
"Just Add Pepper";2002;90;75000;5.1;6
"Get on the Bus";1996;120;2400000;6.6;1142
"Elegante, El";2003;17;2500;8.6;7
"Women Talking Dirty";1999;97;5000000;5.8;85
"Factotum";2005;94;1000000;6.8;60
"This Space Between Us";2000;98;1290000;4.3;32
"Off";2001;15;10000;9.2;5
"Unmade Beds";1997;95;1000000;6.7;148
"One Weekend a Month";2004;11;4000;9.4;21
"Modesty Blaise";1966;119;3000000;5;452
"Puzzlehead";2005;81;500000;7.7;10
"Ghosts of Mars";2001;98;28000000;4.6;6368
"Austin Powers: International Man of Mystery";1997;94;17000000;7;33755
"Stepmom";1998;124;50000000;6.1;7470
"Alferd Packer: The Musical";1996;97;125000;7;2298
